relative_path,boxes_processed,mean_abs_diff,max_abs_diff
day1/members/bjorn/19_0016.webp,0,0.26682761863425924,3
day1/members/cathal/08_0346.webp,0,0.25757740162037035,4
day1/members/cathal/11_0477.webp,0,0.31782588252314814,4
day1/members/florian/08_0341.webp,0,0.29099754050925924,4
day1/members/florian/09_0596.webp,0,0.26457609953703703,4
day1/members/florian/15_0647.webp,0,0.2949761284722222,3
day1/members/florian/18_0328.webp,0,0.27754267939814814,3
day1/members/florian/18_0375.webp,0,0.32121672453703703,5
day1/members/florian/19_0244.webp,0,0.28391746238425924,3
day1/members/florian/20_0151.webp,0,0.26248734085648145,3
day1/members/klaus/12_0400.webp,0,0.19266312210648148,3
day1/members/klaus/15_0547.webp,0,0.3213794849537037,4
day1/members/luca/08_0069.webp,0,0.22440140335648148,3
day1/members/luca/12_0078.webp,0,0.18674949363425927,3
day1/members/luca/12_0168.webp,0,0.318603515625,5
day1/members/onanong/11_0119.webp,0,0.22883210358796297,4
day1/members/onanong/17_0253.webp,0,0.24193431712962962,3
day1/members/onanong/19_0261.webp,0,0.24121997974537038,3
day1/members/onanong/19_0481.webp,0,0.27236147280092593,3
day1/members/stevan/08_0330.webp,0,0.30787037037037035,4
day1/members/stevan/08_0631.webp,0,0.3075267650462963,3
day1/members/stevan/11_0456.webp,0,0.13179072627314814,3
day1/members/stevan/18_0660.webp,0,0.27584273726851855,3
day1/members/stevan/19_0205.webp,0,0.32651548032407407,4
day1/members/tien/08_0068.webp,0,0.3075267650462963,4
day1/members/tien/08_0483.webp,0,0.31755461516203703,4
day1/members/tien/09_0404.webp,0,0.19022171585648148,3
day1/members/tien/19_0050.webp,0,0.3689778645833333,4
day1/members/werner/08_0280.webp,0,0.2490505642361111,4
day1/members/werner/11_0547.webp,0,0.12420428240740741,3
day1/members/werner/13_0365.webp,0,0.3065592447916667,4
day1/members/werner/13_0606.webp,0,0.2859157986111111,3
day1/members/werner/14_0048.webp,0,0.27558955439814814,3
day1/members/werner/14_0080.webp,0,0.30447952835648145,3
day1/members/werner/15_0198.webp,0,0.3218587239583333,4
day1/members/werner/15_0199.webp,0,0.2844871238425926,4
day1/members/werner/15_0312.webp,0,0.2619357638888889,4
day1/members/werner/17_0457.webp,0,0.28250687210648145,3
day2/members/allie/13_0179.webp,0,0.36253978587962965,4
day2/members/allie/13_0355.webp,0,0.3136031539351852,4
day2/members/allie/15_0703.webp,0,0.31473343460648145,4
day2/members/allie/16_0556.webp,0,0.27098705150462965,4
day2/members/bjorn/15_0627.webp,0,0.3175636574074074,4
day2/members/bjorn/16_0250.webp,0,0.3130154079861111,4
day2/members/bjorn/17_0110.webp,0,0.32292570891203703,4
day2/members/bjorn/17_0327.webp,0,0.27589699074074076,3
day2/members/bjorn/19_0429.webp,0,0.3289930555555556,3
day2/members/cathal/10_0273.webp,0,0.21715856481481483,3
day2/members/cathal/19_0198.webp,0,0.3187301070601852,5
day2/members/florian/12_0020.webp,0,0.3355577256944444,4
day2/members/florian/12_0418.webp,0,0.27561668113425924,3
day2/members/florian/12_0439.webp,0,0.2611219618055556,3
day2/members/florian/14_0042.webp,0,0.2959255642361111,4
day2/members/florian/15_0006.webp,0,0.3365614149305556,4
day2/members/florian/15_0395.webp,0,0.2992892795138889,4
day2/members/florian/19_0363.webp,0,0.2732566550925926,3
day2/members/klaus/12_0153.webp,0,0.2784107349537037,3
day2/members/klaus/12_0264.webp,0,0.3565990306712963,4
day2/members/klaus/12_0531.webp,0,0.31303349247685186,4
day2/members/klaus/15_0590.webp,0,0.31449833622685186,5
day2/members/luca/10_0406.webp,0,0.31410951967592593,4
day2/members/luca/12_0565.webp,0,0.3480812355324074,4
day2/members/luca/17_0072.webp,0,0.31148726851851855,4
day2/members/luca/17_0249.webp,0,0.3125542534722222,4
day2/members/luca/18_0188.webp,0,0.2948404947916667,3
day2/members/luca/18_0197.webp,0,0.27011899594907407,3
day2/members/onanong/11_0615.webp,0,0.3090277777777778,3
day2/members/onanong/16_0168.webp,0,0.27978515625,3
day2/members/onanong/16_0470.webp,0,0.24296513310185186,3
day2/members/onanong/17_0489.webp,0,0.2874801070601852,5
day2/members/stevan/09_0309.webp,0,0.31788917824074076,4
day2/members/tien/13_0043.webp,0,0.29100658275462965,3
day2/members/werner/13_0432.webp,0,0.21568467881944445,3
day2/members/werner/13_0648.webp,0,0.22115523726851852,3
day2/members/werner/13_0683.webp,0,0.2171314380787037,3
day2/members/werner/16_0476.webp,0,0.3355848524305556,4
day2/members/werner/17_0039.webp,0,0.3109266493055556,6
day2/members/werner/18_0289.webp,0,0.23109266493055555,4
day2/members/werner/19_0608.webp,0,0.3202220775462963,3
day2/members/werner/20_0389.webp,0,0.3207374855324074,4
day2/members/werner/20_0620.webp,0,0.3072374131944444,4
day3/members/allie/08_0398.webp,0,0.3391384548611111,4
day3/members/allie/10_0210.webp,0,0.3195258246527778,4
