method,fold,threshold,train_clusters,test_clusters,positive_train_rate,positive_test_rate,train_oapr_detector_score,variant_set,classifier,cluster_iou
error_hardened_raw_plus_fusions_histgb_iou0_5,1,0.45,3560,890,0.577247,0.489888,0.951994,raw_plus_fusions,histgb,0.5
error_hardened_raw_plus_fusions_histgb_iou0_5,2,0.41,3560,890,0.56236,0.549438,0.951185,raw_plus_fusions,histgb,0.5
error_hardened_raw_plus_fusions_histgb_iou0_5,3,0.41,3560,890,0.550562,0.596629,0.955342,raw_plus_fusions,histgb,0.5
error_hardened_raw_plus_fusions_histgb_iou0_5,4,0.38,3560,890,0.557303,0.569663,0.950675,raw_plus_fusions,histgb,0.5
error_hardened_raw_plus_fusions_histgb_iou0_5,5,0.39,3560,890,0.551404,0.593258,0.950701,raw_plus_fusions,histgb,0.5
error_hardened_raw_plus_fusions_logreg_iou0_6,1,0.51,3705,927,0.564642,0.552319,0.918241,raw_plus_fusions,logreg,0.6
error_hardened_raw_plus_fusions_logreg_iou0_6,2,0.52,3705,927,0.556815,0.583603,0.908759,raw_plus_fusions,logreg,0.6
error_hardened_raw_plus_fusions_logreg_iou0_6,3,0.5,3706,926,0.56395,0.555076,0.915677,raw_plus_fusions,logreg,0.6
error_hardened_raw_plus_fusions_logreg_iou0_6,4,0.6,3706,926,0.569347,0.533477,0.915627,raw_plus_fusions,logreg,0.6
error_hardened_raw_plus_fusions_logreg_iou0_6,5,0.57,3706,926,0.556125,0.586393,0.908477,raw_plus_fusions,logreg,0.6
error_hardened_raw_plus_fusions_rf_iou0_6,1,0.47,3705,927,0.564642,0.552319,0.935468,raw_plus_fusions,rf,0.6
error_hardened_raw_plus_fusions_rf_iou0_6,2,0.51,3705,927,0.556815,0.583603,0.926285,raw_plus_fusions,rf,0.6
error_hardened_raw_plus_fusions_rf_iou0_6,3,0.52,3706,926,0.56395,0.555076,0.934553,raw_plus_fusions,rf,0.6
error_hardened_raw_plus_fusions_rf_iou0_6,4,0.42,3706,926,0.569347,0.533477,0.932324,raw_plus_fusions,rf,0.6
error_hardened_raw_plus_fusions_rf_iou0_6,5,0.53,3706,926,0.556125,0.586393,0.924612,raw_plus_fusions,rf,0.6
error_hardened_raw_plus_fusions_extra_iou0_6,1,0.6,3705,927,0.564642,0.552319,0.942661,raw_plus_fusions,extra,0.6
error_hardened_raw_plus_fusions_extra_iou0_6,2,0.59,3705,927,0.556815,0.583603,0.93614,raw_plus_fusions,extra,0.6
error_hardened_raw_plus_fusions_extra_iou0_6,3,0.58,3706,926,0.56395,0.555076,0.942356,raw_plus_fusions,extra,0.6
error_hardened_raw_plus_fusions_extra_iou0_6,4,0.57,3706,926,0.569347,0.533477,0.940576,raw_plus_fusions,extra,0.6
error_hardened_raw_plus_fusions_extra_iou0_6,5,0.64,3706,926,0.556125,0.586393,0.933016,raw_plus_fusions,extra,0.6
error_hardened_raw_plus_fusions_histgb_iou0_6,1,0.42,3705,927,0.564642,0.552319,0.945666,raw_plus_fusions,histgb,0.6
error_hardened_raw_plus_fusions_histgb_iou0_6,2,0.38,3705,927,0.556815,0.583603,0.93874,raw_plus_fusions,histgb,0.6
error_hardened_raw_plus_fusions_histgb_iou0_6,3,0.39,3706,926,0.56395,0.555076,0.944976,raw_plus_fusions,histgb,0.6
error_hardened_raw_plus_fusions_histgb_iou0_6,4,0.43,3706,926,0.569347,0.533477,0.941741,raw_plus_fusions,histgb,0.6
error_hardened_raw_plus_fusions_histgb_iou0_6,5,0.51,3706,926,0.556125,0.586393,0.937142,raw_plus_fusions,histgb,0.6
