fold,relative_path,policy_category,selected_method,selection_source,score,privacy,utility
2,day4/members/stevan/10_0720.webp,small_face,blur,train_fold_category,0.871675391570651,1.0,0.6016873461868649
2,day4/members/stevan/11_0074.webp,small_face,blur,train_fold_category,0.8662348131145526,1.0,0.5852883763201788
2,day4/members/stevan/11_0365.webp,small_face,blur,train_fold_category,0.8862607967552251,1.0,0.6498984767450553
2,day4/members/stevan/13_0149.webp,small_face,blur,train_fold_category,0.8549117886145003,0.9166666666666666,0.6839728732991782
2,day4/members/stevan/13_0462.webp,mixed_scale_face,layered_blur_downscale_noise,train_fold_category,0.8441808191125306,1.0,0.5097940963415473
2,day4/members/stevan/13_0714.webp,small_face,blur,train_fold_category,0.8778584434268003,1.0,0.6224698407098893
3,day1/members/luca/08_0069.webp,no_face,no_action_copy,verified_no_face,1.0,1.0,1.0
3,day1/members/luca/08_0225.webp,small_face,blur,train_fold_category,0.8802372838663618,1.0,0.6315711217493744
3,day1/members/luca/08_0716.webp,small_face,blur,train_fold_category,0.8881121181367324,1.0,0.660115101010012
3,day1/members/luca/11_0691.webp,single_face,layered_blur_downscale_noise,train_fold_category,0.8852439112341882,1.0,0.6467894799066091
3,day1/members/luca/12_0078.webp,no_face,no_action_copy,verified_no_face,1.0,1.0,1.0
3,day1/members/luca/12_0168.webp,no_face,no_action_copy,verified_no_face,1.0,1.0,1.0
3,day1/members/luca/12_0202.webp,single_face,layered_blur_downscale_noise,train_fold_category,0.8746510324832102,1.0,0.6104530472673791
3,day1/members/luca/13_0044.webp,single_face,layered_blur_downscale_noise,train_fold_category,0.8701400223757377,1.0,0.5933485717984535
3,day1/members/luca/14_0698.webp,medium_face,blur,train_fold_category,0.8762133580657965,1.0,0.6168400352140481
3,day1/members/luca/15_0236.webp,medium_face,blur,train_fold_category,0.8808401089526608,1.0,0.6322962052294169
3,day1/members/luca/15_0372.webp,medium_face,blur,train_fold_category,0.8217323831604959,0.8888888888888888,0.6211293482093395
3,day1/members/luca/18_0040.webp,single_face,layered_blur_downscale_noise,train_fold_category,0.8641962119314945,1.0,0.578781344304619
3,day1/members/luca/19_0006.webp,small_face,blur,train_fold_category,0.8788808976115665,1.0,0.6274927500944901
3,day1/members/tien/08_0068.webp,no_face,no_action_copy,verified_no_face,1.0,1.0,1.0
3,day1/members/tien/08_0310.webp,motion_blur_or_low_sharpness,layered_blur_downscale_noise,train_fold_category,0.819124007868846,0.8888888888888888,0.6057846460860203
3,day1/members/tien/08_0483.webp,no_face,no_action_copy,verified_no_face,1.0,1.0,1.0
3,day1/members/tien/09_0404.webp,no_face,no_action_copy,verified_no_face,1.0,1.0,1.0
3,day1/members/tien/10_0032.webp,motion_blur_or_low_sharpness,layered_blur_downscale_noise,train_fold_category,0.8766600676973049,1.0,0.6139679654681035
3,day1/members/tien/10_0152.webp,small_face,blur,train_fold_category,0.8888374459462735,1.0,0.6594698374895903
3,day1/members/tien/13_0571.webp,motion_blur_or_low_sharpness,layered_blur_downscale_noise,train_fold_category,0.8680140578357083,1.0,0.5843787363366307
3,day1/members/tien/14_0026.webp,mixed_scale_face,layered_blur_downscale_noise,train_fold_category,0.8745339457471659,1.0,0.6078566873086267
3,day1/members/tien/14_0211.webp,medium_face,blur,train_fold_category,0.8710301587445438,1.0,0.6038797161466916
3,day1/members/tien/15_0093.webp,medium_face,blur,train_fold_category,0.8686226749963133,1.0,0.5956428507010234
3,day1/members/tien/15_0585.webp,single_face,layered_blur_downscale_noise,train_fold_category,0.8767526416130261,1.0,0.6139867323473258
3,day1/members/tien/19_0050.webp,no_face,no_action_copy,verified_no_face,1.0,1.0,1.0
3,day1/members/tien/19_0392.webp,mixed_scale_face,layered_blur_downscale_noise,train_fold_category,0.8004997888148835,0.8888888888888888,0.5496438606020067
3,day2/members/luca/10_0406.webp,no_face,no_action_copy,verified_no_face,1.0,1.0,1.0
3,day2/members/luca/10_0586.webp,small_face,blur,train_fold_category,0.8709248828403279,1.0,0.6036751228714188
