method,relative_path,non_sensitive_ssim,full_frame_utility,SSIM,privacy_score_legacy
layered_blur_downscale_noise,day4/members/luca/10_0115.webp,0.9977571290572632,0.8596994208503652,0.9878084105171536,0.5
layered_blur_downscale_noise,day3/members/bjorn/18_0483.webp,0.9979400465017892,0.8135898275332696,0.9818816062126648,1.0
layered_blur_downscale_noise,day2/members/tien/19_0512.webp,0.9984533567630344,0.6851622907065817,0.9747671629475492,1.0
layered_blur_downscale_noise,day2/members/stevan/11_0452.webp,0.9983127591996849,0.7797581802279021,0.9806149801552824,1.0
layered_blur_downscale_noise,day1/members/tien/08_0068.webp,0.9982078113702707,0.9816226249593528,0.9953525025463168,1.0
layered_blur_downscale_noise,day1/members/florian/18_0328.webp,0.9979272366329067,0.9765712846044938,0.9945560766332826,1.0
layered_blur_downscale_noise,day2/members/onanong/18_0325.webp,0.9979485733576404,0.8228649943704589,0.9829790293445556,1.0
layered_blur_downscale_noise,day2/members/cathal/10_0597.webp,0.9977519661574444,0.8469158715460325,0.9858145950145772,0.875
layered_blur_downscale_noise,day3/members/klaus/11_0207.webp,0.9981108867039303,0.982344751865387,0.9957029389492572,1.0
layered_blur_downscale_noise,day2/members/bjorn/15_0627.webp,0.9982488257791916,0.9844549977129882,0.9954816971724104,1.0
layered_blur_downscale_noise,day2/members/onanong/14_0193.webp,0.9983107277064994,0.8592351002865211,0.9844095480190068,1.0
layered_blur_downscale_noise,day2/members/onanong/10_0373.webp,0.9979026217303558,0.8443834827854957,0.9846665877133062,1.0
layered_blur_downscale_noise,day4/members/bao/11_0220.webp,0.9977578919108915,0.908295144210162,0.9880687536197948,1.0
layered_blur_downscale_noise,day2/members/klaus/15_0590.webp,0.9985714927975486,0.9876195943745204,0.996022734664078,1.0
layered_blur_downscale_noise,day1/members/werner/11_0547.webp,0.9991716002957135,0.984739527989606,0.9981085545354684,1.0
layered_blur_downscale_noise,day3/members/klaus/18_0613.webp,0.9977257790878907,0.8494997093873342,0.9834212724958104,1.0
layered_blur_downscale_noise,day1/members/cathal/10_0708.webp,0.9977286480947498,0.9326065706471036,0.9893410992641112,1.0
layered_blur_downscale_noise,day1/members/tien/19_0392.webp,0.9978683554730129,0.7617651886211678,0.9814634008143036,0.8888888888888888
layered_blur_downscale_noise,day4/members/luca/11_0464.webp,0.9978840384974736,0.8335985698731168,0.9832744987669436,1.0
layered_blur_downscale_noise,day3/members/allie/10_0655.webp,0.9973911665148627,0.9753160209028522,0.9935468086239893,1.0
layered_blur_downscale_noise,day2/members/allie/13_0179.webp,0.9984925010744646,0.988150565133437,0.9954556847326596,1.0
layered_blur_downscale_noise,day1/members/florian/15_0647.webp,0.9980285994015884,0.9821502686430694,0.9950425851063792,1.0
layered_blur_downscale_noise,day2/members/klaus/12_0531.webp,0.9979803234051196,0.9764976464715808,0.9946627860033924,1.0
layered_blur_downscale_noise,day1/members/bjorn/15_0586.webp,0.9983131168990359,0.981227923092166,0.9954131844466816,1.0
layered_blur_downscale_noise,day1/members/bjorn/09_0318.webp,0.9978632605329452,0.973302783271866,0.994484571394716,1.0
layered_blur_downscale_noise,day3/members/allie/12_0148.webp,0.9981137668713996,0.9355922033051036,0.9907566511947676,1.0
layered_blur_downscale_noise,day1/members/klaus/17_0521.webp,0.9977424158564885,0.8349667973456865,0.9864172711249364,1.0
layered_blur_downscale_noise,day2/members/luca/10_0586.webp,0.9983374800529111,0.914081127430114,0.9884165507755932,1.0
layered_blur_downscale_noise,day4/members/onanong/11_0656.webp,0.9980877575666184,0.7523234491507109,0.9798432151396862,0.9285714285714286
layered_blur_downscale_noise,day1/members/onanong/17_0468.webp,0.9979596642167553,0.95592349283795,0.991915097095578,1.0
layered_blur_downscale_noise,day2/members/werner/14_0229.webp,0.9982410521465725,0.9725894682071864,0.9940654879360914,1.0
layered_blur_downscale_noise,day3/members/allie/18_0514.webp,0.9979514888027211,0.8327065063335086,0.9829835797980598,1.0
layered_blur_downscale_noise,day1/members/bjorn/10_0130.webp,0.9978414340846147,0.8555501376888068,0.9882065343957964,0.9
layered_blur_downscale_noise,day2/members/onanong/16_0470.webp,0.998043096895556,0.9689914779187696,0.9951112883928334,1.0
layered_blur_downscale_noise,day2/members/werner/20_0620.webp,0.9983727669607759,0.977263026709876,0.9956137562677694,1.0
layered_blur_downscale_noise,day4/members/bjorn/08_0126.webp,0.997964970308464,0.9695440590747746,0.9953662370132512,1.0
layered_blur_downscale_noise,day1/members/allie/10_0296.webp,0.9976265542189573,0.9527723244310736,0.9909540256324054,1.0
